"平台","路径","中文名称","ROM格式"
"00-GB","/roms/00-GB/1.gb","G&W集锦1","gb"
"00-GB","/roms/00-GB/2.gb","G&W集锦2","gb"
"00-GB","/roms/00-GB/3.gb","NBA JAM杯赛版","gb"
"00-GB","/roms/00-GB/4.gb","SD高达外传 拉古罗亚群英传","gb"
"00-GB","/roms/00-GB/5.gb","SD鲁邦三世 破坏金库大作战","gb"
"00-GB","/roms/00-GB/6.gb","V-拉力赛车","gb"
"00-GB","/roms/00-GB/7.gb","艾斯帕克斯的奇迹冒险","gb"
"00-GB","/roms/00-GB/8.gb","超级马里奥1","gb"
"00-GB","/roms/00-GB/9.gb","超级马里奥4","gb"
"00-GB","/roms/00-GB/10.gb","超级马里奥医生","gb"
"00-GB","/roms/00-GB/11.gb","超级中国人","gb"
"00-GB","/roms/00-GB/12.gb","创世纪外传神秘的美德2","gb"
"00-GB","/roms/00-GB/13.gb","大金刚","gb"
"00-GB","/roms/00-GB/14.gb","大金刚国度","gb"
"00-GB","/roms/00-GB/15.gb","大力工头机器人帝国的野心","gb"
"00-GB","/roms/00-GB/16.gb","大力工头幽灵建筑公司","gb"
"00-GB","/roms/00-GB/17.gb","导弹指挥官","gb"
"00-GB","/roms/00-GB/18.gb","地球解放军","gb"
"00-GB","/roms/00-GB/19.gb","第1次超级机器人大战","gb"
"00-GB","/roms/00-GB/20.gb","第2次超级机器人大战","gb"
"00-GB","/roms/00-GB/21.gb","俄罗斯方块","gb"
"00-GB","/roms/00-GB/22.gb","恶魔城1","gb"
"00-GB","/roms/00-GB/23.gb","恶魔城2","gb"
"00-GB","/roms/00-GB/24.gb","恶魔城3","gb"
"00-GB","/roms/00-GB/25.gb","恶魔城外传 王子传奇","gb"
"00-GB","/roms/00-GB/26.gb","菲利克斯猫","gb"
"00-GB","/roms/00-GB/27.gb","疯狂越野摩托车","gb"
"00-GB","/roms/00-GB/28.gb","复仇幽灵","gb"
"00-GB","/roms/00-GB/29.gb","钢刀曲棍球","gb"
"00-GB","/roms/00-GB/30.gb","光之神话","gb"
"00-GB","/roms/00-GB/31.gb","魂斗罗1","gb"
"00-GB","/roms/00-GB/32.gb","魂斗罗2","gb"
"00-GB","/roms/00-GB/33.gb","机械战警1","gb"
"00-GB","/roms/00-GB/34.gb","机械战警2","gb"
"00-GB","/roms/00-GB/35.gb","机械战警对终结者","gb"
"00-GB","/roms/00-GB/36.gb","街头霸王2","gb"
"00-GB","/roms/00-GB/37.gb","街头赛车","gb"
"00-GB","/roms/00-GB/38.gb","解谜小子","gb"
"00-GB","/roms/00-GB/39.gb","口袋妖怪 红","gb"
"00-GB","/roms/00-GB/40.gb","口袋妖怪 蓝","gb"
"00-GB","/roms/00-GB/41.gb","口袋妖怪 绿","gb"
"00-GB","/roms/00-GB/42.gb","口袋妖怪 皮卡丘","gb"
"00-GB","/roms/00-GB/43.gb","狂热鼹鼠","gb"
"00-GB","/roms/00-GB/44.gb","矿王","gb"
"00-GB","/roms/00-GB/45.gb","蜡笔小新1 我和小白是朋友","gb"
"00-GB","/roms/00-GB/46.gb","蜡笔小新2 我和调皮鬼捉迷藏","gb"
"00-GB","/roms/00-GB/47.gb","蜡笔小新3 我的健康运动","gb"
"00-GB","/roms/00-GB/48.gb","蜡笔小新4 恶作剧大变身","gb"
"00-GB","/roms/00-GB/49.gb","两次运球","gb"
"00-GB","/roms/00-GB/50.gb","龙之尾","gb"
"00-GB","/roms/00-GB/51.gb","龙珠Z 悟空飞翔传","gb"
"00-GB","/roms/00-GB/52.gb","洛克人1","gb"
"00-GB","/roms/00-GB/53.gb","洛克人2","gb"
"00-GB","/roms/00-GB/54.gb","洛克人3","gb"
"00-GB","/roms/00-GB/55.gb","洛克人4","gb"
"00-GB","/roms/00-GB/56.gb","洛克人5","gb"
"00-GB","/roms/00-GB/57.gb","冒险岛1","gb"
"00-GB","/roms/00-GB/58.gb","冒险岛2","gb"
"00-GB","/roms/00-GB/59.gb","米老鼠之危险的追逐","gb"
"00-GB","/roms/00-GB/60.gb","魔界村外传","gb"
"00-GB","/roms/00-GB/61.gb","女神转生外传 最后的圣经2","gb"
"00-GB","/roms/00-GB/62.gb","奇天烈大百科","gb"
"00-GB","/roms/00-GB/63.gb","蚯蚓战士","gb"
"00-GB","/roms/00-GB/64.gb","燃纸大作战","gb"
"00-GB","/roms/00-GB/65.gb","热斗 斗神传","gb"
"00-GB","/roms/00-GB/66.gb","热斗 饿狼传说2","gb"
"00-GB","/roms/00-GB/67.gb","热斗 饿狼传说特别版","gb"
"00-GB","/roms/00-GB/68.gb","热斗 拳皇95","gb"
"00-GB","/roms/00-GB/69.gb","热斗 拳皇96","gb"
"00-GB","/roms/00-GB/70.gb","热斗 拳皇97","gb"
"00-GB","/roms/00-GB/71.gb","热斗 拳皇98","gb"
"00-GB","/roms/00-GB/72.gb","热斗 世界英雄2","gb"
"00-GB","/roms/00-GB/73.gb","热斗 侍魂","gb"
"00-GB","/roms/00-GB/74.gb","热斗 侍魂斩红郎无双剑","gb"
"00-GB","/roms/00-GB/75.gb","热血硬派 番外乱斗篇","gb"
"00-GB","/roms/00-GB/76.gb","忍者龙剑传","gb"
"00-GB","/roms/00-GB/77.gb","忍者神龟1 鬼脚族的陨落","gb"
"00-GB","/roms/00-GB/78.gb","忍者神龟2 下水道归来","gb"
"00-GB","/roms/00-GB/79.gb","忍者神龟3 紧急营救","gb"
"00-GB","/roms/00-GB/80.gb","忍者蛙1","gb"
"00-GB","/roms/00-GB/81.gb","忍者蛙2","gb"
"00-GB","/roms/00-GB/82.gb","忍者蛙和双截龙","gb"
"00-GB","/roms/00-GB/83.gb","三国志","gb"
"00-GB","/roms/00-GB/84.gb","神鸡艾烈佛","gb"
"00-GB","/roms/00-GB/85.gb","生化尖兵","gb"
"00-GB","/roms/00-GB/86.gb","圣剑传说","gb"
"00-GB","/roms/00-GB/87.gb","双截龙1","gb"
"00-GB","/roms/00-GB/88.gb","双截龙2","gb"
"00-GB","/roms/00-GB/89.gb","双截龙3","gb"
"00-GB","/roms/00-GB/90.gb","太空战斗机2","gb"
"00-GB","/roms/00-GB/91.gb","太空战士4","gb"
"00-GB","/roms/00-GB/92.gb","突击坦克 TRAX","gb"
"00-GB","/roms/00-GB/93.gb","吞食天地 三国英雄传","gb"
"00-GB","/roms/00-GB/94.gb","瓦里奥大战炸弹人","gb"
"00-GB","/roms/00-GB/95.gb","瓦力欧大陆1","gb"
"00-GB","/roms/00-GB/96.gb","巫术外传3","gb"
"00-GB","/roms/00-GB/97.gb","星之卡比1","gb"
"00-GB","/roms/00-GB/98.gb","星之卡比2","gb"
"00-GB","/roms/00-GB/99.gb","野球拳","gb"
"00-GB","/roms/00-GB/100.gb","异型战机1","gb"
"00-GB","/roms/00-GB/101.gb","异型战机2","gb"
"00-GB","/roms/00-GB/102.gb","宇宙巡航机1","gb"
"00-GB","/roms/00-GB/103.gb","宇宙巡航机2","gb"
"00-GB","/roms/00-GB/104.gb","元祖！快杰洋枪丸","gb"
"00-GB","/roms/00-GB/105.gb","原始人大进击","gb"
"00-GB","/roms/00-GB/106.gb","炸弹人","gb"
"00-GB","/roms/00-GB/107.gb","珍宝珠小子","gb"
"00-GB","/roms/00-GB/108.gb","终结者2","gb"
"00-GB","/roms/00-GB/109.gb","鬼神降临5 隐忍的继承者","gb"
"00-GB","/roms/00-GB/110.gb","风来西林 月影村的怪物","gb"
"01-GBC","/roms/01-GBC/1.gbc","3D口袋桌球","gbc"
"01-GBC","/roms/01-GBC/2.gbc","F1世界杯2","gbc"
"01-GBC","/roms/01-GBC/3.gbc","G&W集锦3","gbc"
"01-GBC","/roms/01-GBC/4.gbc","V拉力赛车99版","gbc"
"01-GBC","/roms/01-GBC/5.gbc","WWF狂热摔跤2000","gbc"
"01-GBC","/roms/01-GBC/6.gbc","奥运会","gbc"
"01-GBC","/roms/01-GBC/7.gbc","百战天虫","gbc"
"01-GBC","/roms/01-GBC/8.gbc","暴力摩托","gbc"
"01-GBC","/roms/01-GBC/9.gbc","爆走战记钢铁之友情","gbc"
"01-GBC","/roms/01-GBC/10.gbc","超惑星战记","gbc"
"01-GBC","/roms/01-GBC/11.gbc","超级机器人大战LB","gbc"
"01-GBC","/roms/01-GBC/12.gbc","超级马里奥1 色彩渲染版","gbc"
"01-GBC","/roms/01-GBC/13.gbc","超级马里奥2","gbc"
"01-GBC","/roms/01-GBC/14.gbc","超级马里奥Deluxe","gbc"
"01-GBC","/roms/01-GBC/15.gbc","超级马力欧网球","gbc"
"01-GBC","/roms/01-GBC/16.gbc","超级冒充者兄弟","gbc"
"01-GBC","/roms/01-GBC/17.gbc","达菲鸭致富记","gbc"
"01-GBC","/roms/01-GBC/18.gbc","大盗五右卫门 星空士登场","gbc"
"01-GBC","/roms/01-GBC/19.gbc","大力工头 阿源君 锤爆锤爆通通锤爆","gbc"
"01-GBC","/roms/01-GBC/20.gbc","刀锋战士","gbc"
"01-GBC","/roms/01-GBC/21.gbc","电梯大战EX","gbc"
"01-GBC","/roms/01-GBC/22.gbc","俄罗斯方块DX","gbc"
"01-GBC","/roms/01-GBC/23.gbc","恶魔城 月之轮回GBC版","gbc"
"01-GBC","/roms/01-GBC/24.gbc","翻转方块","gbc"
"01-GBC","/roms/01-GBC/25.gbc","飞龙之拳","gbc"
"01-GBC","/roms/01-GBC/26.gbc","飞龙之拳外传","gbc"
"01-GBC","/roms/01-GBC/27.gbc","风火轮","gbc"
"01-GBC","/roms/01-GBC/28.gbc","风来西林2 沙漠迷城","gbc"
"01-GBC","/roms/01-GBC/29.gbc","格兰蒂亚 平行的旅途","gbc"
"01-GBC","/roms/01-GBC/30.gbc","孤岛冒险者1","gbc"
"01-GBC","/roms/01-GBC/31.gbc","孤岛冒险者2","gbc"
"01-GBC","/roms/01-GBC/32.gbc","古墓丽影 噩梦之石","gbc"
"01-GBC","/roms/01-GBC/33.gbc","古墓丽影 剑之诅咒","gbc"
"01-GBC","/roms/01-GBC/34.gbc","怪物牧场探险家","gbc"
"01-GBC","/roms/01-GBC/35.gbc","硅谷太空站","gbc"
"01-GBC","/roms/01-GBC/36.gbc","鬼屋魔影","gbc"
"01-GBC","/roms/01-GBC/37.gbc","滚滚卡比","gbc"
"01-GBC","/roms/01-GBC/38.gbc","国际超级明星足球2000","gbc"
"01-GBC","/roms/01-GBC/39.gbc","海贼王 梦之路飞海贼团诞生","gbc"
"01-GBC","/roms/01-GBC/40.gbc","合金弹头","gbc"
"01-GBC","/roms/01-GBC/41.gbc","合金装备 幽灵通天塔","gbc"
"01-GBC","/roms/01-GBC/42.gbc","猴子拳击","gbc"
"01-GBC","/roms/01-GBC/43.gbc","幻想传说 换装迷宫","gbc"
"01-GBC","/roms/01-GBC/44.gbc","毁灭公爵","gbc"
"01-GBC","/roms/01-GBC/45.gbc","火焰之纹章外传 光与暗的轮回","gbc"
"01-GBC","/roms/01-GBC/46.gbc","极限运动","gbc"
"01-GBC","/roms/01-GBC/47.gbc","街头霸王ZERO","gbc"
"01-GBC","/roms/01-GBC/48.gbc","杰克龙1","gbc"
"01-GBC","/roms/01-GBC/49.gbc","杰克龙3","gbc"
"01-GBC","/roms/01-GBC/50.gbc","金田一少年事件簿10周年","gbc"
"01-GBC","/roms/01-GBC/51.gbc","金庸群侠传","gbc"
"01-GBC","/roms/01-GBC/52.gbc","劲舞革命GB1","gbc"
"01-GBC","/roms/01-GBC/53.gbc","劲舞革命GB2","gbc"
"01-GBC","/roms/01-GBC/54.gbc","劲舞革命GB3","gbc"
"01-GBC","/roms/01-GBC/55.gbc","空降区","gbc"
"01-GBC","/roms/01-GBC/56.gbc","恐龙猎人1","gbc"
"01-GBC","/roms/01-GBC/57.gbc","恐龙猎人2","gbc"
"01-GBC","/roms/01-GBC/58.gbc","恐龙猎人3","gbc"
"01-GBC","/roms/01-GBC/59.gbc","口袋赛车2","gbc"
"01-GBC","/roms/01-GBC/60.gbc","口袋上海","gbc"
"01-GBC","/roms/01-GBC/61.gbc","口袋妖怪 金","gbc"
"01-GBC","/roms/01-GBC/62.gbc","口袋妖怪 卡牌游戏2","gbc"
"01-GBC","/roms/01-GBC/63.gbc","口袋妖怪 水晶(内置金手指)二改","gbc"
"01-GBC","/roms/01-GBC/64.gbc","口袋妖怪 水晶(修改版)","gbc"
"01-GBC","/roms/01-GBC/65.gbc","口袋妖怪 水晶","gbc"
